,titulo,date,figcaption,volanta
0,La Universidad de Río Negro le otorgó el doctorado honoris causa a Cristina Kirchner,2023-03-06T18:22:49-03:00,,Lo recibirá el viernes en Vieda y brindará una conferencia
1,Carlos Stornelli no quiere dar la cara,2023-03-06T17:54:27-03:00,. Imagen: Enrique García Medina,El fiscal avisó que no se presentará en la Comisión que analiza el juicio político a la Corte
2,De los repudios a la suspensión de una actividad negacionista en el Congreso ,2023-03-06T18:31:26-03:00,,"La presentación de un libro que califica de ""negocio"" a los derechos humanos"
3,"De pedir pena de muerte a odiar a los ""negros de cabeza"": un recuento por las barbaridades de Roberto Piazza",2023-03-06T15:33:49-03:00,Roberto Piazza en uno de sus raid mediáticos,El diseñador que recorre los canales de noticias para insultar al peronismo
4,Amalia Granata y el show del chaleco antibalas (de paintball),2023-03-06T16:14:30-03:00,Granata y un tiro por la culata,La diputada provincial se disfrazó para recorrer las calles de Rosario y el tiro le salió por la culata
5,"El discurso de Axel Kicillof en la Legislatura bonaerense, minuto a minuto",2023-03-06T15:56:21-03:00,. Imagen: NA,"Tras el apagón, abrió las sesiones ordinarias"
6,"Se constituyó el comité de campaña ""Morales presidente"" en provincia de Buenos Aires",2023-03-06T11:11:40-03:00,,Actual Gobernador de Jujuy y presidente de la UCR
7,"Luana Volnovich: “más atención oftalmológica en PAMI, más cobertura, y más anteojos para nuestros afiliados”  ",2023-03-06T11:16:28-03:00,,
8,Insaurralde: “queremos que la candidata a presidenta sea Cristina”,2023-03-06T11:22:24-03:00,,Declaraciones del jefe de Gabinete de la Provincia de Buenos Aires
9,Jorge Ferraresi abrió el 110° período de Sesiones Ordinarias del Concejo Deliberante de Avellaneda ,2023-03-06T11:03:10-03:00,,
10,El libro de la Iglesia sobre la dictadura: Un primer tomo con sabor a poco,2023-03-06T10:37:19-03:00,El dictador Videla en la Iglesia Stella Maris. . Imagen: Eduardo Longoni,La mirada de los organismos de Derechos Humanos
11,"Alberto Fernández sobre el canje de deuda: ""Da confianza y protege el ahorro argentino""",2023-03-06T19:39:20-03:00,,"Fuertes críticas a los ""agoreros de siempre"""
12,"El 2022, año récord para la bancarización de empresas",2023-03-06T18:39:50-03:00,,"Se crearon más de 23 mil firmas, 5 por ciento más que en 2021"
13,Se esperan definiciones de la Fed,2023-03-06T18:25:12-03:00,. Imagen: AFP,Esta semana hablará Jerome Powell ante el Congreso norteamericano
14,El fin de las cautelares para sortear controles de comercio exterior,2023-03-06T18:24:00-03:00,La Aduana detectó estafas procesales y logró que muchas empresas desistieran de la medida cautelar,La Dirección General de Aduanas detectó estafas procesales en la presentación de cautelares
15,El Central arrancó la semana con ventas,2023-03-06T18:15:03-03:00,"El dólar ""contado con liquidación"" se ubica en 373 pesos por unidad.. Imagen: Guadalupe Lombardo",Se desprendió de 42 millones de dólares
16,YPF: celebración y posible sorpresa,2023-03-06T18:13:09-03:00,YPF presentará sus resultados de 2022.. Imagen: Sandra Cartasso,El viernes cumple 30 años cotizando en Nueva York
17,Multan a la cervería Quilmes por abuso de posición dominante,2023-03-06T17:27:12-03:00,Quilmes ya había sido multada hace dos años. ,La CNDC constató que no cumple las medidas correctivas impuestas en 2021
18,Evasión rural al por mayor,2023-03-06T17:14:25-03:00,,Operativos de AFIP en Córdoba con incautación de granos
19,Menos ventas de usados,2023-03-06T17:13:41-03:00,,Febrero
20,Feriazo en el Congreso,2023-03-06T17:12:56-03:00,,Agricultura familiar
21,"Sergio Massa anunció el canje de deuda en pesos: ""Se terminan los fantasmas""",2023-03-06T19:04:30-03:00,. Imagen: NA,"Por un monto de 12,3 billones de pesos"
22,"Para el Gobierno porteño, las personas en situación de calle y los cartoneros afean la ciudad como la basura",2023-03-06T20:13:59-03:00,. Imagen: Leandro Teysseire,"Insólita licitación para adjudicar el ""servicio de relevamiento de condiciones que impactan en la higiene"""
23,"La vacuna argentina contra la covid, cada vez más cerca de los brazos argentinos",2023-03-06T19:57:36-03:00,,Se espera que la Arvac Cecilia Grierson comience a aplicarse este año
24,Menopausia: es clave no abandonar la actividad sexual,2023-03-06T16:26:16-03:00,,"La ginecóloga y sexóloga Sandra Magirena habla sobre las dudas que le llevan sus ""consultantes"" y las recetas que promueve"
25,"Aborto: una lectura sobre el engranaje médico, jurídico y religioso",2023-03-06T13:31:38-03:00,. Imagen: Télam,Investigación sobre la violación del secreto profesional en los procesos abiertos por denuncia en las guardias hospitalarias
26,Palermo: asesinan de un tiro a un ingeniero para robarle el celular,2023-03-06T14:11:40-03:00,. Imagen: Télam,Juan Francisco Fernández Acosta tenía 27 años
27,"Los manteros quieren respuestas, el gobierno porteño pone palos",2023-03-06T13:08:06-03:00,Efectivos de la policía porteña detienen a un trabajador ambulante. Imagen: Bernardino Avila,"Tras ser desalojados a la fuerza, los vendedores ambulantes piden saber dónde serán relocalizados"
28,Día Internacional de la Mujer: ¿Por qué se conmemora el 8 de marzo?,2023-03-06T11:40:03-03:00,Día de la Mujer. Imagen: NA,8M en Argentina
29,Un popular chocolate ya no podrá usar su emblemático logotipo,2023-03-06T15:22:53-03:00,"Toblerone ya no podrá usar la imagen del monte Cervino, el icónico logo de la marca.",Está obligado a sacarlo de sus envases
30,Soledad Martínez: “En Vicente López creemos en la educación pública”,2023-03-06T15:05:26-03:00,,
31,Efemérides de hoy. Qué pasó un 6 de marzo,2023-03-06T10:16:27-03:00,Julio Bocca nació el 6 de marzo de 1967. Imagen: EFE,Hechos que ocurrieron en la Argentina y el mundo
32,Feroz incendio en El Bolsón,2023-03-06T10:49:12-03:00,. Imagen: Twitter,Impactantes imágenes
33,Huracán: Diego Dabove habló sobre la situación de Lucas Merolla,2023-03-06T19:43:30-03:00,Dabove se retira del Ducó tras igualar el clásico contra San Lorenzo. Imagen: Julio Martín Mancini,"""Está la esperanza de que aparezca la solución"", dijo el DT sobre el defensor que fue apartado"
34,Kudelka criticó a Demichelis en una comparación con Gallardo,2023-03-06T19:40:54-03:00,Kudelka se mostró contrariado en La Fortaleza y Demichelis mira de reojo. Imagen: Fotobaires,"Tras la caída del sábado pasado, el DT de Lanús fue duro con su colega de River"
35,Independiente y la paradoja de la Caldera,2023-03-06T18:22:35-03:00,Independiente se fue silbado ante Instituto. Imagen: AFP,Los hinchas llenan la cancha pero no le tienen paciencia a sus jóvenes jugadores
36,Champions League: El Chelsea de Enzo Fernández busca remontar ante el Dortmund,2023-03-06T16:44:25-03:00,Enzo Fernández buscará liderar la remontada del Chelsea.. Imagen: AFP,Este martes también juegan el Benfica de Otamendi ante el Brujas
37,"El River de Demichelis, una obra en construcción",2023-03-06T15:31:10-03:00,River festejó ante Lanús en un partido con mucha polémica.. Imagen: NA,Opinión
38,Efecto Scaloneta: El técnico argentino revolucionó El Salvador,2023-03-06T15:13:39-03:00,Lionel Scaloni recibió una espectacular bienvenida en El Salvador.. Imagen: AFP,Scaloni participó de una visita promocional y se abrazó con el Mágico González
39,El PSG adelantó su viaje a Alemania por una huelga general en Francia,2023-03-06T17:48:52-03:00,Messi y sus compañeros deben revertir el 0-1 del partido de ida en el Parque de los Prínicipes,El equipo de Messi visitará el miércoles al Bayern por la Champions League
40,Djokovic se tuvo que bajar de Indian Wells y Miami y su reinado está en peligro,2023-03-06T11:03:33-03:00,Djokovic llegó a semifinales en Dubai la semana pasada.. Imagen: AFP,El serbio no pudo viajar a Estados Unidos por no estar vacunado
